                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.53535,                0.34442,                0.86095,                0.99884,                      1,                  0.995,                0.89125,                0.48682,                0.28531,                 0.8225,              0.0003764,              0.0003764,              0.0003764
                     85,                0.52913,                0.32121,                0.86263,                0.99884,                      1,                  0.995,                0.89015,                0.47841,                0.27799,                0.81676,              0.0003566,              0.0003566,              0.0003566
                     86,                0.51583,                 0.3096,                0.85545,                0.99885,                      1,                  0.995,                0.88845,                0.48383,                0.27647,                0.81775,              0.0003368,              0.0003368,              0.0003368
                     87,                0.54517,                0.32364,                0.86088,                0.99885,                      1,                  0.995,                 0.8917,                0.48777,                0.27581,                0.81906,               0.000317,               0.000317,               0.000317
                     88,                0.50583,                0.32526,                0.85266,                0.99884,                      1,                  0.995,                 0.8985,                0.47764,                0.26671,                 0.8169,              0.0002972,              0.0002972,              0.0002972
                     89,                 0.4927,                0.29856,                0.84242,                0.99883,                      1,                  0.995,                0.90131,                 0.4674,                0.25501,                 0.8141,              0.0002774,              0.0002774,              0.0002774
                     90,                0.50229,                0.30189,                0.85665,                0.99883,                      1,                  0.995,                0.90222,                 0.4654,                0.24853,                0.81503,              0.0002576,              0.0002576,              0.0002576
                     91,                 0.5028,                0.33315,                0.86775,                0.99885,                      1,                  0.995,                 0.9088,                0.46611,                0.25456,                0.81344,              0.0002378,              0.0002378,              0.0002378
                     92,                0.49281,                0.30864,                0.82671,                0.99886,                      1,                  0.995,                0.90365,                0.47916,                0.26757,                0.82082,               0.000218,               0.000218,               0.000218
                     93,                0.50723,                0.31992,                0.82579,                0.99884,                      1,                  0.995,                0.89555,                 0.4918,                0.27438,                0.82812,              0.0001982,              0.0001982,              0.0001982
                     94,                0.48508,                0.30252,                0.82238,                0.99884,                      1,                  0.995,                0.90048,                0.47804,                0.27776,                0.81453,              0.0001784,              0.0001784,              0.0001784
                     95,                0.48514,                0.30096,                0.81465,                0.99884,                      1,                  0.995,                0.90384,                0.46666,                0.27273,                0.80542,              0.0001586,              0.0001586,              0.0001586
                     96,                0.48104,                0.28407,                0.83164,                0.99883,                      1,                  0.995,                0.90812,                0.46578,                0.27044,                 0.8038,              0.0001388,              0.0001388,              0.0001388
                     97,                0.48722,                0.30232,                0.82609,                0.99883,                      1,                  0.995,                0.90745,                0.46604,                0.27095,                0.80279,               0.000119,               0.000119,               0.000119
                     98,                0.49135,                0.30216,                 0.8214,                0.99883,                      1,                  0.995,                0.90613,                0.46399,                0.26697,                0.80118,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.47884,                 0.2904,                0.81335,                0.99883,                      1,                  0.995,                0.90549,                0.45953,                0.26704,                    0.8,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.47075,                0.28941,                0.82139,                0.99883,                      1,                  0.995,                0.91116,                0.46094,                0.26637,                0.80021,               5.96e-05,               5.96e-05,               5.96e-05
